date,open,high,low,close,volume
object,float64,float64,float64,float64,int64
2013-02-14 00:00,1.55426,1.55592,1.54823,1.5501,145250
2013-02-15 00:00,1.55009,1.55499,1.54606,1.55166,176236
2013-02-16 00:00,1.55165,1.5527,1.55076,1.55162,17750
2013-02-18 00:00,1.55037,1.55082,1.5437,1.54671,107707
2013-02-19 00:00,1.54668,1.55037,1.54158,1.54302,126283
2013-02-20 00:00,1.54302,1.54504,1.52805,1.5299,145542
2013-02-21 00:00,1.52991,1.53024,1.513,1.52616,190168
2013-02-22 00:00,1.52614,1.53195,1.52364,1.52544,144684
2013-02-23 00:00,1.52542,1.52603,1.51604,1.51605,22481
2013-02-25 00:00,1.50763,1.51625,1.50714,1.51106,150339
2013-02-26 00:00,1.51105,1.52185,1.51038,1.51241,243264
2013-02-27 00:00,1.5124,1.51879,1.50801,1.51332,190910
2013-02-28 00:00,1.51332,1.52211,1.512,1.51891,178604
2013-03-01 00:00,1.51888,1.51962,1.49853,1.50311,163774
2013-03-02 00:00,1.50312,1.50435,1.50131,1.50358,22250
2013-03-04 00:00,1.50417,1.5087,1.49993,1.50824,100916
2013-03-05 00:00,1.50823,1.51984,1.50709,1.50965,152355
2013-03-06 00:00,1.50967,1.51548,1.5032,1.50349,127055
2013-03-07 00:00,1.50349,1.50822,1.49658,1.50308,180202
2013-03-08 00:00,1.50308,1.50468,1.48853,1.49248,145712
2013-03-09 00:00,1.49249,1.49476,1.49089,1.49222,21716
2013-03-11 00:00,1.49153,1.49429,1.48657,1.49024,99329
2013-03-12 00:00,1.49024,1.49326,1.48287,1.49003,136137
2013-03-13 00:00,1.49003,1.49812,1.48887,1.49253,148758
2013-03-14 00:00,1.49252,1.51019,1.4911,1.50888,158808
2013-03-15 00:00,1.50893,1.51762,1.50683,1.51261,173566
2013-03-16 00:00,1.51263,1.51277,1.50754,1.51129,21352
2013-03-18 00:00,1.51179,1.51437,1.5071,1.51113,155705
2013-03-19 00:00,1.51114,1.51441,1.50729,1.51125,162822
2013-03-20 00:00,1.51124,1.51858,1.50265,1.51275,188745
2013-03-21 00:00,1.51274,1.52089,1.50878,1.51678,176858
2013-03-22 00:00,1.51678,1.52446,1.51571,1.5244,158258
2013-03-23 00:00,1.5244,1.52474,1.51895,1.52283,21091
2013-03-25 00:00,1.52291,1.52599,1.51431,1.51735,144715
2013-03-26 00:00,1.51735,1.5207,1.51347,1.51488,146426
2013-03-27 00:00,1.51488,1.5181,1.50923,1.51134,135028
2013-03-28 00:00,1.51134,1.51983,1.511,1.51697,145040
2013-03-29 00:00,1.51697,1.5219,1.51677,1.51903,72971
2013-03-30 00:00,1.51906,1.52055,1.51884,1.51958,15780
2013-04-01 00:00,1.51873,1.52414,1.51776,1.523,51308
2013-04-02 00:00,1.52299,1.52583,1.51092,1.51145,125870
2013-04-03 00:00,1.51145,1.51572,1.5075,1.51498,123495
2013-04-04 00:00,1.51498,1.52026,1.50332,1.51967,154727
2013-04-05 00:00,1.51969,1.5363,1.5194,1.53238,148597
2013-04-06 00:00,1.53238,1.53491,1.53208,1.53347,15763
2013-04-08 00:00,1.53078,1.53502,1.52432,1.52595,112755
2013-04-09 00:00,1.52596,1.53331,1.52397,1.53225,135353
2013-04-10 00:00,1.53229,1.5343,1.52927,1.53139,126956
2013-04-11 00:00,1.53143,1.54113,1.5311,1.53995,145098
2013-04-12 00:00,1.53992,1.54094,1.53436,1.53575,133691
2013-04-13 00:00,1.53575,1.53599,1.53374,1.53421,13337
2013-04-15 00:00,1.53391,1.53847,1.53035,1.53093,125330
2013-04-16 00:00,1.53092,1.53601,1.52698,1.5349,187305
2013-04-17 00:00,1.53504,1.53788,1.5216,1.52445,172267
2013-04-18 00:00,1.52442,1.53124,1.52176,1.52985,165037
2013-04-19 00:00,1.52984,1.53675,1.52247,1.52338,156762
2013-04-20 00:00,1.52338,1.52512,1.52239,1.52288,16905
2013-04-22 00:00,1.52317,1.5273,1.52032,1.52692,113954
2013-04-23 00:00,1.52691,1.52973,1.51963,1.52671,140977
2013-04-24 00:00,1.5267,1.52871,1.52265,1.52604,127971
2013-04-25 00:00,1.52605,1.54797,1.52582,1.54281,137091
2013-04-26 00:00,1.5428,1.54984,1.54185,1.54754,123710
2013-04-27 00:00,1.54754,1.54899,1.54687,1.54746,11528
2013-04-29 00:00,1.5487,1.55457,1.54746,1.54945,94168
2013-04-30 00:00,1.54945,1.55673,1.54675,1.55393,112391
2013-05-01 00:00,1.55393,1.55951,1.55237,1.55741,93891
2013-05-02 00:00,1.55741,1.56051,1.54963,1.55284,147475
2013-05-03 00:00,1.55283,1.56014,1.54802,1.55618,125842
2013-05-04 00:00,1.55616,1.5574,1.55532,1.55723,12324
2013-05-06 00:00,1.55614,1.55976,1.55205,1.55398,66683
2013-05-07 00:00,1.55399,1.55518,1.54461,1.54827,99453
2013-05-08 00:00,1.54828,1.55911,1.54703,1.55599,111291
2013-05-09 00:00,1.55599,1.55875,1.5486,1.55013,126753
2013-05-10 00:00,1.55014,1.55015,1.53138,1.53487,175890
2013-05-11 00:00,1.53484,1.53679,1.53401,1.53635,16341
2013-05-13 00:00,1.53556,1.53845,1.52774,1.52906,129652
2013-05-14 00:00,1.52916,1.53306,1.5229,1.52392,154952
